iter	Passed	Remaining
0	144	144507
1	147	73411
2	149	49638
3	151	37761
4	153	30637
5	156	25964
6	159	22628
7	162	20105
8	164	18146
9	166	16511
10	168	15179
11	171	14100
12	173	13184
13	175	12376
14	177	11678
15	179	11057
16	181	10521
17	184	10063
18	186	9647
19	188	9259
20	191	8907
21	193	8580
22	195	8289
23	197	8028
24	199	7783
25	201	7554
26	203	7336
27	205	7138
28	207	6951
29	209	6779
30	211	6621
31	213	6467
32	215	6319
33	217	6179
34	219	6047
35	221	5925
36	223	5807
37	225	5698
38	226	5592
39	228	5490
40	230	5393
41	232	5303
42	234	5221
43	236	5138
44	238	5066
45	240	4994
46	242	4920
47	244	4852
48	246	4784
49	248	4729
50	250	4664
51	252	4602
52	254	4541
53	255	4483
54	257	4427
55	259	4374
56	261	4321
57	263	4275
58	265	4227
59	266	4179
60	268	4132
61	270	4088
62	272	4045
63	273	4003
64	275	3963
65	277	3930
66	279	3894
67	280	3846
68	282	3810
69	284	3778
70	286	3744
71	288	3712
72	289	3681
73	291	3653
74	293	3622
75	295	3592
76	297	3562
77	298	3533
78	300	3505
79	302	3477
80	304	3450
81	306	3426
82	307	3401
83	309	3376
84	310	3345
85	312	3316
86	312	3283
87	314	3255
88	315	3228
89	316	3201
90	317	3175
91	319	3151
92	320	3128
93	322	3106
94	323	3083
95	324	3058
96	325	3034
97	326	3009
98	328	2986
99	329	2964
100	330	2944
101	331	2917
102	332	2897
103	334	2880
104	335	2859
105	336	2838
106	337	2816
107	338	2795
108	339	2774
109	340	2753
110	341	2731
111	341	2711
112	342	2690
113	343	2670
114	344	2649
115	344	2628
116	345	2608
117	346	2588
118	346	2568
119	347	2550
120	348	2533
121	349	2516
122	350	2496
123	350	2478
124	351	2460
125	352	2442
126	352	2424
127	353	2405
128	353	2388
129	354	2371
130	355	2355
131	355	2338
132	356	2322
133	356	2306
134	357	2290
135	358	2275
136	358	2260
137	359	2244
138	359	2229
139	360	2214
140	361	2200
141	361	2186
142	362	2171
143	363	2157
144	363	2144
145	364	2130
146	364	2116
147	365	2103
148	366	2090
149	366	2077
150	367	2065
151	367	2052
152	368	2040
153	369	2027
154	369	2015
155	370	2003
156	370	1991
157	371	1980
158	372	1968
159	372	1957
160	373	1945
161	373	1934
162	374	1923
163	375	1912
164	375	1902
165	376	1891
166	377	1881
167	377	1870
168	378	1860
169	378	1849
170	379	1839
171	380	1829
172	380	1819
173	381	1809
174	381	1799
175	382	1790
176	383	1780
177	383	1771
178	384	1763
179	385	1754
180	385	1744
181	386	1736
182	387	1727
183	387	1719
184	388	1711
185	389	1703
186	390	1695
187	390	1687
188	391	1679
189	392	1671
190	392	1663
191	393	1655
192	393	1647
193	394	1639
194	395	1631
195	395	1623
196	396	1615
197	397	1608
198	397	1601
199	398	1593
200	399	1586
201	399	1579
202	400	1571
203	400	1564
204	401	1557
205	402	1549
206	402	1542
207	403	1535
208	403	1528
209	404	1521
210	405	1514
211	405	1508
212	406	1501
213	406	1494
214	407	1487
215	408	1481
216	408	1474
217	409	1468
218	409	1461
219	410	1455
220	411	1449
221	411	1442
222	412	1436
223	412	1430
224	413	1423
225	413	1417
226	414	1411
227	415	1405
228	415	1399
229	416	1393
230	416	1387
231	417	1382
232	418	1376
233	418	1370
234	419	1365
235	419	1359
236	420	1354
237	421	1348
238	421	1343
239	422	1337
240	422	1332
241	423	1326
242	424	1321
243	424	1316
244	425	1310
245	425	1305
246	426	1300
247	427	1295
248	427	1290
249	428	1285
250	428	1279
251	429	1274
252	430	1269
253	430	1264
254	431	1259
255	431	1255
256	433	1253
257	434	1248
258	435	1244
259	435	1240
260	436	1236
261	437	1232
262	438	1227
263	438	1223
264	439	1219
265	440	1215
266	441	1211
267	441	1206
268	442	1202
269	443	1198
270	444	1195
271	445	1191
272	445	1187
273	446	1183
274	447	1179
275	448	1175
276	449	1171
277	449	1167
278	450	1163
279	450	1159
280	451	1155
281	452	1151
282	452	1147
283	453	1143
284	454	1139
285	455	1136
286	455	1132
287	456	1128
288	457	1124
289	457	1120
290	458	1116
291	458	1112
292	459	1108
293	460	1104
294	460	1101
295	461	1097
296	462	1093
297	462	1090
298	463	1086
299	463	1082
300	464	1078
301	465	1075
302	465	1071
303	466	1067
304	466	1064
305	467	1060
306	468	1056
307	468	1053
308	469	1049
309	469	1046
310	470	1042
311	471	1039
312	471	1035
313	472	1031
314	472	1028
315	473	1025
316	474	1021
317	474	1018
318	475	1014
319	475	1011
320	476	1007
321	477	1004
322	477	1001
323	478	997
324	478	994
325	479	991
326	479	987
327	480	984
328	481	981
329	481	978
330	482	974
331	482	971
332	483	968
333	484	965
334	484	962
335	485	959
